,Group,Sample.Name,Mg,Al,K,Ca,Sc,Ti,Mn,Fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bhb,NA,0.208945467,0.277255476,0.227293866,0.182140011,0.14308655,0.258521313,0.25941139,0.130571933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,mb,NA,0.776589778,0.414909431,0.196151053,0.55659026,0.16968667,1.270056205,0.899220403,0.295310298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,nth,NA,0.058134257,0.161824286,0.065140118,0.169740194,0.098930408,0.214090055,0.200352391,0.078002371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pm,NA,0.118560076,0.170481345,0.253619965,0.300237615,0.105530543,0.163472933,0.55121302,0.161834359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Group,Sample.Name,Ni,Cu,Zn,Ga,Ge,Se,Br,Rb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bhb,NA,0.16548143,0.145895599,0.249063054,0.170884424,0.352592847,0.233954048,0.278932453,0.294653943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,mb,NA,0.240920288,0.417021934,0.296426917,1.413111138,0.415866845,0.353885789,0.139164986,0.907040897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,nth,NA,0.135483331,0.594398209,0.119939246,0.144937554,0.254582618,0.356703611,0.327869324,0.341374355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pm,NA,0.72846835,0.746352677,0.186525218,0.341425637,0.395466596,0.374146695,0.402313415,0.211793322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Group,Sample.Name,Sr,Y,Mo,Pd,I,Ba,La,Ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bhb,NA,0.169276985,0.280939742,0.385866616,0.231903967,0.170805447,0.143137183,0.393676061,0.411815708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,mb,NA,0.750663369,0.26506215,0.440343261,0.632187065,0.372601676,0.463276247,0.335954459,0.184372149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,nth,NA,0.151568857,0.202028812,0.171728196,0.35354521,0.144060423,0.119573384,0.250101509,0.473132848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pm,NA,0.279386765,0.255626481,0.378786681,0.523349047,0.362358845,0.217618914,0.151064834,0.319487464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Group,Sample.Name,Pr,Nd,Sm,Eu,Gd,Tb,Dy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bhb,NA,0.425764293,0.358253537,0.311012294,0.183299749,0.289473015,0.298681647,0.394041057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,mb,NA,0.460156847,0.405090545,0.342225698,0.415673496,0.40127192,0.619437037,0.328280846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,nth,NA,0.13024503,0.197064817,0.226804511,0.217254216,0.387611119,0.296948518,0.208044583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pm,NA,0.158909211,0.222111515,0.298013181,0.276568964,0.228605097,0.278858642,0.250341358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Group,Sample.Name,Ho,Er,Tm,Yb,Lu,Ta,Th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bhb,NA,0.257808403,0.341086777,0.380084145,0.346885139,0.391962151,1.019687408,0.83004991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,mb,NA,0.535331815,0.33083415,0.429965399,0.228846152,0.368815999,0.840321246,0.862553823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,nth,NA,0.220237154,0.1692508,0.322099781,0.335414992,0.216909659,1.413126381,0.591607978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pm,NA,0.224864645,0.304273029,0.237185093,0.279313334,0.2646942,0.683925767,0.616923547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
